"","Var1","Var2","Var3","Freq"
"627","-2.5","-27.5","1990",61
"628","2.5","-27.5","1990",4
"629","7.5","-27.5","1990",0
"630","12.5","-27.5","1990",0
"631","-57.5","-22.5","1990",0
"632","-52.5","-22.5","1990",0
"633","-47.5","-22.5","1990",0
"634","-42.5","-22.5","1990",0
"635","-37.5","-22.5","1990",1
"636","-32.5","-22.5","1990",0
"637","-27.5","-22.5","1990",0
"638","-22.5","-22.5","1990",19
"639","-17.5","-22.5","1990",0
"640","-12.5","-22.5","1990",3
"641","-7.5","-22.5","1990",89
"642","-2.5","-22.5","1990",11
"643","2.5","-22.5","1990",0
"644","7.5","-22.5","1990",0
"645","12.5","-22.5","1990",0
"646","-57.5","-17.5","1990",0
"647","-52.5","-17.5","1990",0
"648","-47.5","-17.5","1990",0
"649","-42.5","-17.5","1990",0
"650","-37.5","-17.5","1990",4
"651","-32.5","-17.5","1990",0
"652","-27.5","-17.5","1990",0
"653","-22.5","-17.5","1990",0
"654","-17.5","-17.5","1990",0
"655","-12.5","-17.5","1990",0
"656","-7.5","-17.5","1990",49
"657","-2.5","-17.5","1990",2
"658","2.5","-17.5","1990",0
"659","7.5","-17.5","1990",0
"660","12.5","-17.5","1990",0
"661","-57.5","-12.5","1990",0
"662","-52.5","-12.5","1990",0
"663","-47.5","-12.5","1990",0
"664","-42.5","-12.5","1990",0
"665","-37.5","-12.5","1990",7
"666","-32.5","-12.5","1990",2
"667","-27.5","-12.5","1990",0
"668","-22.5","-12.5","1990",0
"669","-17.5","-12.5","1990",0
"670","-12.5","-12.5","1990",1
"671","-7.5","-12.5","1990",0
"672","-2.5","-12.5","1990",0
"673","2.5","-12.5","1990",0
"674","7.5","-12.5","1990",0
"675","12.5","-12.5","1990",0
"676","-57.5","-7.5","1990",0
"677","-52.5","-7.5","1990",0
"678","-47.5","-7.5","1990",0
"679","-42.5","-7.5","1990",0
"680","-37.5","-7.5","1990",0
"681","-32.5","-7.5","1990",3
"682","-27.5","-7.5","1990",0
"683","-22.5","-7.5","1990",0
"684","-17.5","-7.5","1990",0
"685","-12.5","-7.5","1990",0
"686","-7.5","-7.5","1990",5
"687","-2.5","-7.5","1990",1
"688","2.5","-7.5","1990",0
"689","7.5","-7.5","1990",0
"690","12.5","-7.5","1990",0
"691","-57.5","-2.5","1990",0
"692","-52.5","-2.5","1990",0
"693","-47.5","-2.5","1990",0
"694","-42.5","-2.5","1990",0
"695","-37.5","-2.5","1990",0
"696","-32.5","-2.5","1990",0
"697","-27.5","-2.5","1990",0
"698","-22.5","-2.5","1990",0
"699","-17.5","-2.5","1990",0
"700","-12.5","-2.5","1990",0
"701","-7.5","-2.5","1990",0
"702","-2.5","-2.5","1990",1
"703","2.5","-2.5","1990",1
"704","7.5","-2.5","1990",0
"705","12.5","-2.5","1990",0
"706","-57.5","2.5","1990",0
"707","-52.5","2.5","1990",0
"708","-47.5","2.5","1990",0
"709","-42.5","2.5","1990",0
"710","-37.5","2.5","1990",0
"711","-32.5","2.5","1990",0
"712","-27.5","2.5","1990",0
"713","-22.5","2.5","1990",0
"714","-17.5","2.5","1990",0
"715","-12.5","2.5","1990",0
"716","-7.5","2.5","1990",0
"717","-2.5","2.5","1990",0
"718","2.5","2.5","1990",0
"719","7.5","2.5","1990",0
"720","12.5","2.5","1990",0
"721","-57.5","-52.5","1995",0
"722","-52.5","-52.5","1995",0
